auth_last,auth_first,publ_date,auth_gender,author_id
Heinlein,Robert A.,1948,M,1965
Hubbard,L. Ron,1948,M,1966
Hubbard,L. Ron,1948,M,1967
Kersh,Gerald,1948,M,1968
Kuttner,Henry,1948,M,1969
Lockridge,Ross,1948,M,1970
Millar,Kenneth,1948,M,1971
Mailer,Norman,1948,M,1972
Mason,Sara Elizabeth,1948,F,1973
Maxwell,William,1948,M,1974
Miller,Wade,1948,M,1975
Miller,Wade,1948,M,1976
Paton,Alan,1948,M,1977
Queen,Ellery,1948,0,1978
Quinn,Seabury,1948,M,1979
Robbins,Harold,1948,M,1980
Seton,Anya,1948,F,1981
Shaw,Irwin,1948,M,1982
Skinner,B. F.,1948,M,1983
Smith,E. E.,1948,M,1984
Spencer,Elizabeth,1948,F,1985
Stout,Rex,1948,M,1986
Van Vogt,A. E.,1948,M,1987
West,Dorothy,1948,F,1988
Wilder,Thornton,1948,M,1989
Williamson,Jack,1948,M,1990
Wouk,Herman,1948,M,1991
Algren,Nelson,1949,M,1992
Asch,Sholem,1949,M,1993
Ballinger,Bill S.,1949,M,1994
Bond,Nelson Slade,1949,M,1995
Faust,Frederick Schiller,1949,M,1996
Faust,Frederick Schiller,1949,M,1997
Faust,Frederick Schiller,1949,M,1998
Brown,Fredric,1949,M,1999
Burnett,W. R.,1949,M,2000
Caldwell,Erskine,1949,M,2001
Davis,Dorothy,1949,F,2002
Eberhart,Mignon Good,1949,F,2003
Ellson,Hal,1949,M,2004
Gibran,Kahlil,1949,M,2005
Hamilton,Edmond,1949,M,2006
Heinlein,Robert A.,1949,M,2007
Heinlein,Robert A.,1949,M,2008
Kline,Otis Adelbert,1949,M,2009
Lasswell,Mary,1949,F,2010
Levinson,Saul,1949,0,2011
Lockridge,Frances Louise Davis,1949,F,2012
Lovelace,Maud Hart,1949,F,2013
Millar,Kenneth,1949,M,2014
Malvern,Gladys,1949,F,2015
McCarthy,Mary,1949,F,2016
Miller,Henry,1949,M,2017
Myers,John Myers,1949,M,2018
Nathan,Robert,1949,M,2019
Nathan,Robert,1949,M,2020
Palmer,Stuart,1949,M,2021
Porter,Katherine Anne,1949,F,2022
Queen,Ellery,1949,0,2023
Robbins,Harold,1949,M,2024
Linebarger,Paul Myron Anthony,1949,M,2025
Smith,E. E.,1949,M,2026
Winchell,Prentice,1949,M,2027
Stewart,George R.,1949,M,2028
Stout,Rex,1949,M,2029
Stout,Rex,1949,M,2030
Stout,Rex,1949,M,2031
Van Praag,Van,1949,M,2032
Williamson,Jack,1949,M,2033
Wilson,Dorothy Clarke,1949,F,2034
Zagat,Arthur Leo,1949,M,2035
Angley,Ernest,1950,M,2036
Asimov,Isaac,1950,M,2037
Asimov,Isaac,1950,M,2038
Bissell,Richard,1950,M,2039
Faust,Frederick Schiller,1950,M,2040
Bristow,Gwen,1950,F,2041
Brown,Fredric,1950,M,2042
Burns,Robert Thomas,1950,M,2043
Burroughs,Edgar Rice,1950,M,2044
Calmer,Ned,1950,M,2045
Carr,John Dickson,1950,M,2046
Chandler,Raymond,1950,M,2047
Coblentz,Stanton A.,1950,M,2048
Coxe,George Harmon,1950,M,2049
Coxe,George Harmon,1950,M,2050
Davis,Dorothy,1950,F,2051
Eberhart,Mignon Good,1950,F,2052
Fast,Howard,1950,M,2053
Foote,Shelby,1950,M,2054
Gardner,Erle Stanley,1950,M,2055
Gibran,Kahlil,1950,M,2056
Heinlein,Robert A.,1950,M,2057
Heinlein,Robert A.,1950,M,2058
Hemingway,Ernest,1950,M,2059
Howard,Robert E.,1950,M,2060
Kersh,Gerald,1950,M,2061
Leiber,Fritz,1950,M,2062
MacDonald,John D.,1950,M,2063
Millar,Kenneth,1950,M,2064
Miller,Henry,1950,M,2065
Miller,Wade,1950,M,2066
Miller,Wade,1950,M,2067
Murphy,Audie,1950,M,2068
Nin,Anais,1950,F,2069
Palmer,Stuart,1950,M,2070
Phillips,Rog,1950,M,2071
Powell,Richard,1950,M,2072
Robinson,Henry Morton,1950,M,2073
Seton,Anya,1950,F,2074
Shellabarger,Samuel,1950,M,2075
Spillane,Mickey,1950,M,2076
Stout,Rex,1950,M,2077
Sturgeon,Theodore,1950,M,2078
Suhl,Yuri,1950,M,2079
Van Vogt,A. E.,1950,M,2080
Ward,Leo R.,1950,M,2081
Williams,Tennessee,1950,M,2082
Bennett,Arnold,1923,M,2083
Conrad,Joseph,1923,M,2084
Christie,Agatha,1924,F,2085
Forster,E. M.,1924,M,2086
Tagore,Rabindranath,1924,M,2087
Ford,Ford Madox,1925,M,2088
Maugham,W. Somerset,1925,M,2089
Woolf,Virginia,1925,F,2090
Forester,C. S.,1926,M,2091
Lawrence,D. H.,1926,M,2092
Sayers,Dorothy L.,1927,F,2093
Undset,Sigrid,1927,F,2094
Woolf,Virginia,1927,F,2095
Lawrence,D. H.,1928,M,2096
Sayers,Dorothy L.,1928,F,2097
Deeping,Warwick,1929,M,2098
Priestley,J. B.,1929,M,2099
West,Rebecca,1929,F,2100
Tomlinson,H. M.,1930,M,2101
Waugh,Evelyn,1930,M,2102
Cronin,A. J.,1931,M,2103
Remarque,Erich Maria,1931,M,2104
Woolf,Virginia,1931,F,2105
Huxley,Aldous,1932,M,2106
Saint-Exupery,Antoine de,1932,F,2107
Hilton,James,1933,M,2108
Undset,Sigrid,1933,F,2109
Woolf,Virginia,1933,F,2110
Delafield,E. M.,1934,F,2111
Hilton,James,1934,M,2112
Sayers,Dorothy L.,1934,F,2113
Isherwood,Christopher,1935,M,2114
Narayan,R. K.,1935,M,2115
Orwell,George,1935,M,2116
Delafield,E. M.,1936,F,2117
Du Maurier,Daphne,1936,F,2118
Potter,Beatrix,1936,F,2119
Narayan,R. K.,1937,M,2120
Tolkien,J. R. R.,1937,M,2121
Woolf,Virginia,1937,F,2122
Du Maurier,Daphne,1938,F,2123
Graves,Robert,1938,M,2124
Shute,Nevil,1938,M,2125
Joyce,James,1939,M,2126
Llewellyn,Richard,1939,M,2127
Forester,C. S.,1940,M,2128
Thomas,Dylan,1940,M,2129
Von Arnim,Elizabeth,1940,F,2130
Dark,Eleanor,1941,F,2131
Woolf,Virginia,1941,F,2132
Lewis,C. S.,1942,M,2133
Du Maurier,Daphne,1943,F,2134
Forester,C. S.,1943,M,2135
Brand,Christianna,1944,F,2136
De la Roche,Mazo,1944,F,2137
Joyce,James,1944,M,2138
Graves,Robert,1945,M,2139
Hilton,James,1945,M,2140
Waugh,Evelyn,1945,M,2141
Christie,Agatha,1946,F,2142
De la Roche,Mazo,1946,F,2143
Larkin,Philip,1946,M,2144
Hilton,James,1947,M,2145
Lowry,Malcolm,1947,M,2146
Snow,C. P.,1947,M,2147
Goudge,Elizabeth,1948,F,2148
Paton,Alan,1948,M,2149
Graves,Robert,1949,M,2150
Orwell,George,1949,M,2151
Christie,Agatha,1950,F,2152
Lessing,Doris,1950,F,2153
Lewis,C. S.,1950,M,2154
Hammett,Dashiell,1929,M,2155
Chandler,Raymond,1940,M,2156
Chandler,Raymond,1942,M,2157
Farnol,Jeffery,1923,M,2158
Freeman,R. Austin,1923,M,2159
Galsworthy,John,1923,M,2160
Galsworthy,John,1923,M,2161
Gask,Arthur,1923,M,2162
Holtby,Winifred,1923,F,2163
Le Queux,William,1923,M,2164
Macaulay,Rose,1923,F,2165
Machen,Arthur,1923,M,2166
Munro,Neil,1923,M,2167
Oppenheim,E. Phillips,1923,M,2168
Phillpotts,Eden,1923,M,2169
Wallace,Edgar,1923,M,2170
Wallace,Edgar,1923,M,2171
Wodehouse,P. G.,1923,M,2172
Wodehouse,P. G.,1923,M,2173
Mercer,Cecil William,1923,M,2174
Benson,E. F.,1924,M,2175
Fletcher,J. S.,1924,M,2176
Freeman,R. Austin,1924,M,2177
Freeman,R. Austin,1924,M,2178
Galsworthy,John,1924,M,2179
Gask,Arthur,1924,M,2180
Hilton,James,1924,M,2181
Irwin,Margaret,1924,F,2182
Le Queux,William,1924,M,2183
Macaulay,Rose,1924,F,2184
Mayor,F. M.,1924,F,2185
Mottram,R. H.,1924,M,2186
O'Flaherty,Liam,1924,M,2187
Oppenheim,E. Phillips,1924,M,2188
Phillpotts,Eden,1924,M,2189
Sabatini,Rafael,1924,M,2190
Sabatini,Rafael,1924,M,2191
Sinclair,Bertrand W.,1924,M,2192
Webb,Mary Gladys Meredith,1924,F,2193
Wodehouse,P. G.,1924,M,2194
Buchan,John,1925,M,2195
Christie,Agatha,1925,F,2196
Christie,Agatha,1925,F,2197
Crofts,Freeman Wills,1925,M,2198
Freeman,R. Austin,1925,M,2199
Freeman,R. Austin,1925,M,2200
Hilton,James,1925,M,2201
Irwin,Margaret,1925,F,2202
Knox,Ronald Arbuthnott,1925,M,2203
Lawrence,D. H.,1925,M,2204
Locke,William John,1925,M,2205
Lowndes,Marie Belloc,1925,M,2206
Machen,Arthur,1925,M,2207
Montgomery,L. M.,1925,F,2208
Mottram,R. H.,1925,M,2209
Oppenheim,E. Phillips,1925,M,2210
Phillpotts,Eden,1925,M,2211
Powys,John Cowper,1925,M,2212
Vaughan,Hilda,1925,F,2213
Von Arnim,Elizabeth,1925,F,2214
Waugh,Alec,1925,M,2215
Buchan,John,1926,M,2216
Chesterton,G. K.,1926,#N/A,2217
Christie,Agatha,1926,F,2218
Stewart,Alfred Walter,1926,M,2219
Eddison,Eric Rucker,1926,M,2220
Fraser,Ronald,1926,M,2221
Freeman,R. Austin,1926,M,2222
Galsworthy,John,1926,M,2223
Gask,Arthur,1926,M,2224
Heyer,Georgette,1926,F,2225
Mottram,R. H.,1926,M,2226
Oppenheim,E. Phillips,1926,M,2227
Phillpotts,Eden,1926,M,2228
Sabatini,Rafael,1926,M,2229
Sabatini,Rafael,1926,M,2230
Smith,Pauline,1926,F,2231
Vaughan,Hilda,1926,F,2232
Wallace,Edgar,1926,M,2233
Wallace,Edgar,1926,M,2234
Wallace,Edgar,1926,M,2235
Wallace,Edgar,1926,M,2236
Warner,Sylvia Townsend,1926,F,2237
Waugh,Alec,1926,M,2238
Wodehouse,P. G.,1926,M,2239
Wren,Percival Christopher,1926,M,2240
Wren,Percival Christopher,1926,M,2241
Armstrong,Martin,1927,M,2242
Barringer,Leslie,1927,M,2243
Bowen,Elizabeth,1927,F,2244
Buchan,John,1927,M,2245
Buchan,John,1927,M,2246
Chesterton,G. K.,1927,#N/A,2247
Christie,Agatha,1927,F,2248
Stewart,Alfred Walter,1927,M,2249
Stewart,Alfred Walter,1927,M,2250
Crofts,Freeman Wills,1927,M,2251
Crofts,Freeman Wills,1927,M,2252
De la Roche,Mazo,1927,F,2253
Forester,C. S.,1927,M,2254
Freeman,R. Austin,1927,M,2255
Irwin,Margaret,1927,F,2256
Knox,Ronald Arbuthnott,1927,M,2257
Mirrlees,Hope,1927,F,2258
Montgomery,L. M.,1927,F,2259
Nichols,Beverley,1927,M,2260
Olivier,Edith,1927,F,2261
Sayers,Dorothy L.,1927,F,2262
Wallace,Edgar,1927,M,2263
Wallace,Edgar,1927,M,2264
Wallace,Edgar,1927,M,2265
Wallace,Edgar,1927,M,2266
Walpole,Hugh,1927,M,2267
Mercer,Cecil William,1927,M,2268
Young,E. H.,1927,F,2269
Bedford-Jones,H.,1928,M,2270
Bedford-Jones,H.,1928,M,2271
Palmer,John,1928,M,2272
Bennett,Arnold,1928,M,2273
Cox,Anthony Berkeley,1928,M,2274
Blackwood,Algernon,1928,M,2275
Bramah,Ernest,1928,M,2276
Buchan,John,1928,M,2277
Christie,Agatha,1928,F,2278
Stewart,Alfred Walter,1928,M,2279
Stewart,Alfred Walter,1928,M,2280
Cox,Erle,1928,M,2281
Forester,C. S.,1928,M,2282
Franklin,Miles,1928,F,2283
Freeman,R. Austin,1928,M,2284
Galsworthy,John,1928,M,2285
Gask,Arthur,1928,M,2286
Hall,Radclyffe,1928,F,2287
Heyer,Georgette,1928,F,2288
Knox,Ronald Arbuthnott,1928,M,2289
Lawrence,D. H.,1928,M,2290
Machen,Arthur,1928,M,2291
Sabatini,Rafael,1928,M,2292
Sassoon,Siegfried,1928,M,2293
Sayers,Dorothy L.,1928,F,2294
Waugh,Alec,1928,M,2295
Woolf,Virginia,1928,F,2296
Wright,S. Fowler,1928,M,2297
Mercer,Cecil William,1928,M,2298
Mercer,Cecil William,1928,M,2299
Acland,Peregrine,1929,M,2300
Adams,Arthur H.,1929,M,2301
Aldington,Richard,1929,M,2302
Allingham,Margery,1929,F,2303
Armstrong,Martin,1929,M,2304
Barringer,Leslie,1929,M,2305
Bentley,Phyllis Eleanor,1929,F,2306
Cox,Anthony Berkeley,1929,M,2307
Chesterton,G. K.,1929,#N/A,2308
Christie,Agatha,1929,F,2309
Christie,Agatha,1929,F,2310
Stewart,Alfred Walter,1929,M,2311
Stewart,Alfred Walter,1929,M,2312
De la Roche,Mazo,1929,F,2313
Firbank,Ronald,1929,M,2314
Fletcher,J. S.,1929,M,2315
Freeman,R. Austin,1929,M,2316
Heyer,Georgette,1929,F,2317
Heyer,Georgette,1929,F,2318
Hughes,Richard Arthur Warren,1929,M,2319
Lawrence,D. H.,1929,M,2320
Linklater,Eric,1929,M,2321
Mackail,Denis George,1929,M,2322
Manning,Frederic,1929,M,2323
McKelvie,B. A.,1929,M,2324
Montgomery,L. M.,1929,F,2325
Oppenheim,E. Phillips,1929,M,2326
Oppenheim,E. Phillips,1929,M,2327
Prichard,Katharine Susannah,1929,F,2328
Shiel,M. P.,1929,M,2329
Wallace,Edgar,1929,M,2330
Wallace,Edgar,1929,M,2331
Wallace,Edgar,1929,M,2332
Wentworth,Patricia,1929,F,2333
Wodehouse,P. G.,1929,M,2334
Mercer,Cecil William,1929,M,2335
Allingham,Margery,1930,F,2336
Armstrong,Martin,1930,M,2337
Bedford-Jones,H.,1930,M,2338
Belloc,Hilaire,1930,M,2339
Cox,Anthony Berkeley,1930,M,2340
Bullett,Gerald,1930,M,2341
Chesterton,G. K.,1930,#N/A,2342
Christie,Agatha,1930,F,2343
Stewart,Alfred Walter,1930,M,2344
Delafield,E. M.,1930,F,2345
Forester,C. S.,1930,M,2346
Franklin,Miles,1930,F,2347
Greene,Graham,1930,M,2348
Harrison,Charles Yale,1930,M,2349
Heyer,Georgette,1930,F,2350
Irwin,Margaret,1930,F,2351
Kennedy,Milward,1930,M,2352
Manning,Frederic,1930,M,2353
Mansfield,Katherine,1930,F,2354
Oppenheim,E. Phillips,1930,M,2355
Sassoon,Siegfried,1930,M,2356
Sayers,Dorothy L.,1930,F,2357
Shepherd,Nan,1930,F,2358
Price,Evadne,1930,F,2359
Stapledon,Olaf,1930,M,2360
Wallace,Edgar,1930,M,2361
Wallace,Edgar,1930,M,2362
Walpole,Hugh,1930,M,2363
Waugh,Alec,1930,M,2364
Wells,H. G.,1930,M,2365
Williams,Charles,1930,M,2366
Wodehouse,P. G.,1930,M,2367
Mercer,Cecil William,1930,M,2368
Allingham,Margery,1931,F,2369
Allingham,Margery,1931,F,2370
Armstrong,Martin,1931,M,2371
Bell,Adrian,1931,M,2372
Bennett,Arnold,1931,M,2373
Bowen,Elizabeth,1931,F,2374
Buchan,John,1931,M,2375
Christie,Agatha,1931,F,2376
Compton-Burnett,I.,1931,F,2377
Stewart,Alfred Walter,1931,M,2378
Burghard,Sidney Groves,1931,M,2379
De la Roche,Mazo,1931,F,2380
Du Maurier,Daphne,1931,F,2381
Freeman,R. Austin,1931,M,2382
Gunn,Neil M.,1931,M,2383
Hampson,John,1931,M,2384
Hilton,James,1931,M,2385
Holtby,Winifred,1931,F,2386
Lowndes,Marie Belloc,1931,M,2387
Mitchison,Naomi,1931,F,2388
Montgomery,L. M.,1931,F,2389
Muir,Willa,1931,F,2390
Muspratt,Eric,1931,M,2391
Oppenheim,E. Phillips,1931,M,2392
Oppenheim,E. Phillips,1931,M,2393
Ward,Arthur Henry,1931,M,2394
Sabatini,Rafael,1931,M,2395
Strong,L. A. G.,1931,M,2396
Tobias,Lily,1931,F,2397
Tracy,Louis,1931,M,2398
Upfield,Arthur W.,1931,M,2399
Wallace,Edgar,1931,M,2400
Wallace,Edgar,1931,M,2401
Wallace,Edgar,1931,M,2402
Waugh,Alec,1931,M,2403
Williams,Charles,1931,M,2404
Williams,Charles,1931,M,2405
Mercer,Cecil William,1931,M,2406
Ackerley,J. R.,1932,M,2407
Barrie,J. M.,1932,M,2408
Bedford-Jones,H.,1932,M,2409
Bell,Adrian,1932,M,2410
Bentley,Phyllis Eleanor,1932,F,2411
Long,Gabrielle,1932,F,2412
Bramah,Ernest,1932,M,2413
Buchan,John,1932,M,2414
Stewart,Alfred Walter,1932,M,2415
De la Roche,Mazo,1932,F,2416
Delafield,E. M.,1932,F,2417
Du Maurier,Daphne,1932,F,2418
Whistler,Peggy Eileen,1932,F,2419
Freeman,R. Austin,1932,M,2420
Galsworthy,John,1932,M,2421
Gask,Arthur,1932,M,2422
Gask,Arthur,1932,M,2423
Gibbons,Stella,1932,F,2424
Gunn,Neil M.,1932,M,2425
Heyer,Georgette,1932,F,2426
Heyer,Georgette,1932,F,2427
Hilton,James,1932,M,2428
Irwin,Margaret,1932,F,2429
Isherwood,Christopher,1932,M,2430
Lower,Lennie,1932,M,2431
MacNeice,Louis,1932,M,2432
Marshall,Archibald,1932,M,2433
Mitchell,James Leslie,1932,M,2434
O'Duffy,Eimar,1932,M,2435
Oppenheim,E. Phillips,1932,M,2436
Ward,Arthur Henry,1932,M,2437
Shute,Nevil,1932,M,2438
Snow,C. P.,1932,M,2439
Stapledon,Olaf,1932,M,2440
Walmsley,Leo,1932,M,2441
Waugh,Evelyn,1932,M,2442
Williams,Charles,1932,M,2443
Allingham,Margery,1933,F,2444
Christie,Agatha,1933,F,2445
Christie,Agatha,1933,F,2446
Christie,Agatha,1933,F,2447
De la Roche,Mazo,1933,F,2448
Delafield,E. M.,1933,F,2449
Farnol,Jeffery,1933,M,2450
Franklin,Miles,1933,F,2451
Galsworthy,John,1933,M,2452
Heyer,Georgette,1933,F,2453
Holtby,Winifred,1933,F,2454
Jameson,Storm,1933,F,2455
Knox,Ronald Arbuthnott,1933,M,2456
Macdonell,A. G.,1933,M,2457
Mitchell,Gladys,1933,F,2458
Oppenheim,E. Phillips,1933,M,2459
Powell,Anthony,1933,M,2460
Street,Cecil,1933,M,2461
Ward,Arthur Henry,1933,M,2462
Sayers,Dorothy L.,1933,F,2463
Sayers,Dorothy L.,1933,F,2464
Thirkell,Angela,1933,F,2465
Wallace,Edgar,1933,M,2466
Walpole,Hugh,1933,M,2467
Waugh,Alec,1933,M,2468
Webb,Mary Gladys Meredith,1933,F,2469
Wheatley,Dennis,1933,M,2470
White,Ethel Lina,1933,F,2471
White,T. H.,1933,M,2472
Williams,Charles,1933,M,2473
Wodehouse,P. G.,1933,M,2474
Allingham,Margery,1934,F,2475
O'Malley,Mary Ann Dolling,1934,F,2476
Buchan,John,1934,M,2477
Bullett,Gerald,1934,M,2478
Christie,Agatha,1934,F,2479
Christie,Agatha,1934,F,2480
Stewart,Alfred Walter,1934,M,2481
Whistler,Peggy Eileen,1934,F,2482
Farnol,Jeffery,1934,M,2483
Freeman,R. Austin,1934,M,2484
Gask,Arthur,1934,M,2485
Mitchell,James Leslie,1934,M,2486
Graves,Robert,1934,M,2487
Graves,Robert,1934,M,2488
Gunn,Neil M.,1934,M,2489
Heyer,Georgette,1934,F,2490
Sampson,Richard Henry,1934,M,2491
Irwin,Margaret,1934,F,2492
Jameson,Storm,1934,F,2493
Jenkins,Elizabeth,1934,F,2494
Kipling,Rudyard,1934,M,2495
Knox,Ronald Arbuthnott,1934,M,2496
Linklater,Eric,1934,M,2497
Locke,William John,1934,M,2498
Oppenheim,E. Phillips,1934,M,2499
Oppenheim,E. Phillips,1934,M,2500
Orwell,George,1934,M,2501
Ward,Arthur Henry,1934,M,2502
Sayers,Dorothy L.,1934,F,2503
Stevenson,D. E.,1934,F,2504
Van der Post,Laurens,1934,M,2505
Vaughan,Hilda,1934,F,2506
Walford,Frank,1934,M,2507
Waugh,Alec,1934,M,2508
Waugh,Evelyn,1934,M,2509
Wheatley,Dennis,1934,M,2510
Wodehouse,P. G.,1934,M,2511
Wodehouse,P. G.,1934,M,2512
Canning,Victor,1935,M,2513
Christie,Agatha,1935,F,2514
Stewart,Alfred Walter,1935,M,2515
Heyer,Georgette,1935,F,2516
Heyer,Georgette,1935,F,2517
Hilton,James,1935,M,2518
Houghton,Claude,1935,M,2519
Kitchin,C. H. B.,1935,M,2520
Lewis,C. S.,1935,M,2521
Linklater,Eric,1935,M,2522
Marsh,Ngaio,1935,F,2523
McKinney,J. P,1935,M,2524
Mitford,Nancy,1935,F,2525
Montgomery,L. M.,1935,F,2526
Montgomery,L. M.,1935,F,2527
Oppenheim,E. Phillips,1935,M,2528
Oppenheim,E. Phillips,1935,M,2529
Sayers,Dorothy L.,1935,F,2530
Stapledon,Olaf,1935,M,2531
Wodehouse,P. G.,1935,M,2532
Mercer,Cecil William,1935,M,2533
Allingham,Margery,1936,F,2534
Ambler,Eric,1936,M,2535
Armstrong,Martin,1936,M,2536
Bentley,E. C.,1936,M,2537
Brooker,Bertram,1936,M,2538
Canning,Victor,1936,M,2539
Christie,Agatha,1936,F,2540
Christie,Agatha,1936,F,2541
Christie,Agatha,1936,F,2542
Crofts,Freeman Wills,1936,M,2543
Dark,Eleanor,1936,F,2544
Dark,Eleanor,1936,F,2545
De la Roche,Mazo,1936,F,2546
Freeman,R. Austin,1936,M,2547
Gask,Arthur,1936,M,2548
Heyer,Georgette,1936,F,2549
Heyer,Georgette,1936,F,2550
Hilton,James,1936,M,2551
Holtby,Winifred,1936,F,2552
Wilkinson,Iris,1936,F,2553
Stewart,J. I. M.,1936,M,2554
Jameson,Storm,1936,F,2555
Kerruish,Jessie Douglas,1936,F,2556
Lofts,Norah,1936,F,2557
Lowndes,Marie Belloc,1936,M,2558
Macdonell,A. G.,1936,M,2559
Macpherson,Ian,1936,M,2560
Oppenheim,E. Phillips,1936,M,2561
Orwell,George,1936,M,2562
Powell,Anthony,1936,M,2563
Robins,Denise,1936,F,2564
Ward,Arthur Henry,1936,M,2565
Stevenson,D. E.,1936,F,2566
Thirkell,Angela,1936,F,2567
Upfield,Arthur W.,1936,M,2568
Warner,Sylvia Townsend,1936,F,2569
West,Rebecca,1936,F,2570
Wheatley,Dennis,1936,M,2571
Wodehouse,P. G.,1936,M,2572
Mercer,Cecil William,1936,M,2573
Allingham,Margery,1937,F,2574
Allingham,Margery,1937,F,2575
Ambler,Eric,1937,M,2576
Cox,Anthony Berkeley,1937,M,2577
Day Lewis,Cecil,1937,M,2578
Christie,Agatha,1937,F,2579
Collins,Norman,1937,M,2580
Stewart,Alfred Walter,1937,M,2581
Buchan,Anna Masterton,1937,M,2582
Gask,Arthur,1937,M,2583
Grant,Joan Marshall,1937,F,2584
Heyer,Georgette,1937,F,2585
Heyer,Georgette,1937,F,2586
Heyer,Georgette,1937,F,2587
Stewart,J. I. M.,1937,M,2588
Knox,Ronald Arbuthnott,1937,M,2589
Linklater,Eric,1937,M,2590
Low,A. M.,1937,M,2591
Mackenzie,Kenneth,1937,M,2592
Marsh,Ngaio,1937,F,2593
Maugham,W. Somerset,1937,M,2594
Montgomery,L. M.,1937,F,2595
Oppenheim,E. Phillips,1937,M,2596
Phillpotts,Eden,1937,M,2597
Pritchett,V. S.,1937,M,2598
Street,Cecil,1937,M,2599
Street,Cecil,1937,M,2600
Robins,Denise,1937,F,2601
Stapledon,Olaf,1937,M,2602
Upfield,Arthur W.,1937,M,2603
Upfield,Arthur W.,1937,M,2604
Walmsley,Leo,1937,M,2605
Walton,Amy Catherine,1937,F,2606
Wells,H. G.,1937,M,2607
Williams,Charles,1937,M,2608
Williamson,Henry,1937,M,2609
Mercer,Cecil William,1937,M,2610
Allingham,Margery,1938,F,2611
Ayres,Ruby M.,1938,F,2612
Ayres,Ruby M.,1938,F,2613
Beckett,Samuel,1938,M,2614
Bentley,Phyllis Eleanor,1938,F,2615
Cox,Anthony Berkeley,1938,M,2616
Day Lewis,Cecil,1938,M,2617
Christie,Agatha,1938,F,2618
Stewart,Alfred Walter,1938,M,2619
Stewart,Alfred Walter,1938,M,2620
Cooper,Lettice Ulpha,1938,F,2621
Forester,C. S.,1938,M,2622
Firth,Violet Mary,1938,F,2623
Gibbons,Stella,1938,F,2624
Heyer,Georgette,1938,F,2625
Heyer,Georgette,1938,F,2626
Hilton,James,1938,M,2627
Holtby,Winifred,1938,F,2628
Hughes,Richard Arthur Warren,1938,M,2629
Wilkinson,Iris,1938,F,2630
Stewart,J. I. M.,1938,M,2631
Kitchin,C. H. B.,1938,M,2632
Linklater,Eric,1938,M,2633
Macdonell,A. G.,1938,M,2634
Marsh,Ngaio,1938,F,2635
Marsh,Ngaio,1938,F,2636
Mitchell,Gladys,1938,F,2637
Phillpotts,Eden,1938,M,2638
Priestley,J. B.,1938,M,2639
Stead,Christina,1938,F,2640
Walpole,Hugh,1938,M,2641
Wheatley,Dennis,1938,M,2642
White,Ethel Lina,1938,F,2643
Wodehouse,P. G.,1938,M,2644
Wodehouse,P. G.,1938,M,2645
Wright,S. Fowler,1938,M,2646
Allan,Ted,1939,M,2647
Cox,Anthony Berkeley,1939,M,2648
Day Lewis,Cecil,1939,M,2649
O'Malley,Mary Ann Dolling,1939,F,2650
Croft-Cooke,Rupert,1939,M,2651
Chase,James Hadley,1939,M,2652
Cheyney,Peter,1939,M,2653
Cheyney,Peter,1939,M,2654
Cheyney,Peter,1939,M,2655
Christie,Agatha,1939,F,2656
Collins,Norman,1939,M,2657
Compton-Burnett,I.,1939,F,2658
Cox,Erle,1939,M,2659
Crofts,Freeman Wills,1939,M,2660
Freeman,R. Austin,1939,M,2661
Gask,Arthur,1939,M,2662
Gunn,Neil M.,1939,M,2663
Household,Geoffrey,1939,M,2664
Huxley,Aldous,1939,M,2665
Stewart,J. I. M.,1939,M,2666
Isherwood,Christopher,1939,M,2667
Marsh,Ngaio,1939,F,2668
Maugham,W. Somerset,1939,M,2669
McLaverty,Michael,1939,M,2670
Mitchell,Gladys,1939,F,2671
Mitchison,Naomi,1939,F,2672
Monsarrat,Nicholas,1939,M,2673
Montgomery,L. M.,1939,F,2674
Onions,Oliver,1939,M,2675
Oppenheim,E. Phillips,1939,M,2676
Oppenheim,E. Phillips,1939,M,2677
Orwell,George,1939,M,2678
Powell,Anthony,1939,M,2679
Reid,Forrest,1939,M,2680
Renault,Mary,1939,F,2681
Street,Cecil,1939,M,2682
Ward,Arthur Henry,1939,M,2683
Thirkell,Angela,1939,F,2684
Thompson,Flora,1939,F,2685
Upfield,Arthur W.,1939,M,2686
Walmsley,Leo,1939,M,2687
Watson,Winifred,1939,F,2688
Wentworth,Patricia,1939,F,2689
Wheatley,Dennis,1939,M,2690
Wodehouse,P. G.,1939,M,2691
Mercer,Cecil William,1939,M,2692
Allingham,Margery,1940,F,2693
Ambler,Eric,1940,M,2694
Bell,Adrian,1940,M,2695
Bentley,Phyllis Eleanor,1940,F,2696
Day Lewis,Cecil,1940,M,2697
Bramah,Ernest,1940,M,2698
Cheyney,Peter,1940,M,2699
Christie,Agatha,1940,F,2700
Christie,Agatha,1940,F,2701
Collins,Norman,1940,M,2702
Stewart,Alfred Walter,1940,M,2703
De la Roche,Mazo,1940,F,2704
Freeman,R. Austin,1940,M,2705
Gask,Arthur,1940,M,2706
Goudge,Elizabeth,1940,F,2707
Heyer,Georgette,1940,F,2708
Hutchinson,R. C.,1940,M,2709
Stewart,J. I. M.,1940,M,2710
Stewart,J. I. M.,1940,M,2711
Mitchell,Gladys,1940,F,2712
Oppenheim,E. Phillips,1940,M,2713
Oppenheim,E. Phillips,1940,M,2714
Renault,Mary,1940,F,2715
Street,Cecil,1940,M,2716
Street,Cecil,1940,M,2717
